p_id,rule,experiment,balance,conform
6,"else_(conform_(x, 4), invert_(get_(x, 7)))",1B,0.0,1.0
7,"else_(conform_(x, 4), else_(streak_(x, 6), invert_(get_(x, 7))))",1B,0.0,1.0
8,"else_(streak_(x, 2), else_(patternCont_(x), else_(balance_(x, 3), '1')))",1B,0.48999999999999994,0.0
9,"else_(balance_(x, 2), else_(conform_(x, 4), '1'))",1B,1.0,0.7
10,"else_(patternCont_(x), else_(conform_(x, 3), invert_(get_(x, 0))))",1B,0.0,0.7
11,"else_(conform_(x, 2), invert_(get_(x, 7)))",1B,0.0,1.0
12,"else_(conform_(x, 2), invert_(get_(x, 7)))",1B,0.0,1.0
13,"else_(conform_(x, 3), else_(patternCont_(x), '1'))",1B,0.0,1.0
14,"else_(balance_(x, 4), invert_(get_(x, 0)))",1B,1.0,0.0
15,"else_(conform_(x, 4), invert_(get_(x, 7)))",1B,0.0,1.0
16,"else_(conform_(x, 3), else_(streak_(x, 6), else_(balance_(x, 4), invert_(get_(x, 0)))))",1B,0.48999999999999994,1.0
17,"else_(conform_(x, 4), invert_(get_(x, 7)))",1B,0.0,1.0
18,"invert_(get_(x, 7))",1B,0.0,0.0
19,"else_(conform_(x, 4), invert_(get_(x, 0)))",1B,0.0,1.0
20,"else_(conform_(x, 4), invert_(get_(x, 7)))",1B,0.0,1.0
21,"else_(balance_(x, 2), get_(x, 0))",1B,1.0,0.0
22,"else_(conform_(x, 4), invert_(get_(x, 0)))",1B,0.0,1.0
23,"else_(conform_(x, 4), else_(patternCont_(x), '0'))",1B,0.0,1.0
24,"else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))",1B,0.0,1.0
25,"else_(conform_(x, 4), invert_(get_(x, 0)))",1B,0.0,1.0
26,"else_(streak_(x, 6), else_(balance_(x, 4), '1'))",1B,0.7,0.0
27,"else_(conform_(x, 2), invert_(get_(x, 7)))",1B,0.0,1.0
28,"else_(patternCont_(x), get_(x, 7))",1B,0.0,0.0
29,"else_(patternCont_(x), else_(conform_(x, 4), '0'))",1B,0.0,0.7
30,"else_(conform_(x, 4), else_(patternCont_(x), invert_(get_(x, 0))))",1B,0.0,1.0
31,"else_(conform_(x, 4), invert_(get_(x, 0)))",1B,0.0,1.0
32,"else_(streak_(x, 3), else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7))))",1B,0.48999999999999994,0.0
33,"else_(conform_(x, 4), invert_(get_(x, 0)))",1B,0.0,1.0
34,"else_(balance_(x, 2), else_(conform_(x, 3), get_(x, 0)))",1B,1.0,0.7
35,"else_(conform_(x, 4), invert_(get_(x, 7)))",1B,0.0,1.0
36,"else_(balance_(x, 3), '1')",1B,1.0,0.0
37,"else_(conform_(x, 3), get_(x, 7))",1B,0.0,1.0
38,"else_(streak_(x, 6), else_(patternCont_(x), else_(conform_(x, 2), invert_(get_(x, 0)))))",1B,0.0,0.48999999999999994
39,"else_(conform_(x, 4), invert_(get_(x, 7)))",1B,0.0,1.0
40,"else_(conform_(x, 4), invert_(get_(x, 7)))",1B,0.0,1.0
41,"else_(patternCont_(x), invert_(get_(x, 0)))",1B,0.0,0.0
42,"else_(patternCont_(x), else_(streak_(x, 3), else_(conform_(x, 2), else_(balance_(x, 3), '0'))))",1B,0.3429999999999999,0.48999999999999994
43,"else_(conform_(x, 4), '0')",1B,0.0,1.0
